school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
북일초등학교,4,8,7,7,11,2,8
분평초등학교,64,63,87,85,65,87,28
사직초등학교,65,39,40,41,61,41,23
상당초등학교,50,57,66,69,68,90,24
새터초등학교,70,71,88,92,96,87,27
서원초등학교,27,23,36,31,40,39,12
서촌초등학교,6,8,6,12,6,5,7
석교초등학교,30,32,28,38,44,46,15
수곡초등학교,88,75,77,92,87,89,28
용담초등학교,32,39,28,42,53,51,18
용담초등학교현양원분교장,2,1,1,4,3,0,6
용암초등학교,74,75,95,100,98,106,29
우암초등학교,33,39,26,23,33,33,14
운동초등학교,128,130,98,79,81,81,33
운천초등학교,76,61,62,83,83,83,30
원봉초등학교,72,70,77,94,100,115,27
원평초등학교,87,72,69,87,96,101,30
율량초등학교,81,84,78,115,85,115,37
주성초등학교,30,29,38,42,33,40,16
중앙초등학교,265,270,296,261,279,286,77
증안초등학교,110,96,126,139,158,131,41
진흥초등학교,110,100,108,99,112,153,37
창신초등학교,180,188,190,234,224,216,59
청남초등학교,49,38,63,49,59,72,21
풍광초등학교,77,70,75,80,77,86,24
한벌초등학교,26,32,44,57,36,80,18
한솔초등학교,32,40,40,44,53,33,17
흥덕초등학교,40,30,42,53,45,59,17
가흥초등학교,8,10,7,3,9,2,6
금가초등학교,23,26,32,20,24,18,9
노은초등학교,10,8,6,10,11,9,6
단월초등학교,7,9,4,10,13,6,7
달천초등학교,11,9,4,9,7,15,7
달천초등학교매현분교장,4,2,8,6,6,5,7
대미초등학교,12,5,10,6,13,9,8
덕신초등학교,14,19,13,12,10,12,9
동량초등학교,12,6,5,9,6,9,7
목행초등학교,52,48,55,77,75,79,20
산척초등학교,7,7,2,5,7,8,8
세성초등학교,10,10,11,2,7,8,8
소태초등학교,0,2,4,7,3,5,7
수안보초등학교,5,6,5,8,7,5,7
수회초등학교,2,7,5,5,6,3,7
앙성초등학교,5,10,4,8,9,4,8
엄정초등학교,9,4,10,10,7,5,8
연수초등학교,14,29,17,18,32,28,12
오석초등학교,4,4,8,5,5,5,6
충주용산초등학교,73,90,95,127,109,142,34
용원초등학교,7,8,7,6,1,7,8
주덕초등학교,14,4,6,8,14,10,8
충주교현초등학교,44,48,28,45,42,44,14
충주남산초등학교,108,117,128,155,169,176,50
충주대림초등학교,31,33,34,27,47,48,16
충주삼원초등학교,33,32,42,34,45,46,16
충주성남초등학교,83,72,92,74,114,111,30
충주예성초등학교,13,16,22,21,19,24,13
충주중앙초등학교,57,43,43,49,69,49,17
칠금초등학교,59,51,61,79,62,82,23
탄금초등학교,101,110,115,124,143,163,42
초강초등학교,0,3,5,3,6,5,7
장락초등학교,125,162,167,163,168,153,48
죽림초등학교,89,79,95,91,104,101,29
산성초등학교,194,234,250,253,262,243,65
주중초등학교,148,120,150,162,160,162,46
사천초등학교,113,125,124,141,123,109,39
서경초등학교,131,106,106,128,129,135,37
봉덕초등학교,89,101,84,105,97,103,31
용성초등학교,88,96,100,155,147,174,42
내토초등학교,32,33,37,35,46,54,16
충주금릉초등학교,96,116,105,112,111,99,37
산남초등학교,112,124,103,160,169,135,41
샛별초등학교,112,105,119,163,138,143,41
비봉초등학교,119,108,115,139,143,157,41
장야초등학교,54,69,64,84,103,86,29
성화초등학교,88,96,117,124,116,141,50
국원초등학교,180,175,185,185,185,211,52
서현초등학교,162,168,188,184,213,202,51
직지초등학교,101,111,113,114,111,114,34
솔밭초등학교,282,286,316,348,314,291,71
동성초등학교,165,140,143,158,156,137,44
양청초등학교,87,99,84,77,53,53,23
창리초등학교,320,260,261,214,189,176,67
청주소로초등학교,172,145,157,122,98,87,39
청주내곡초등학교,296,246,240,237,189,143,56
진천상신초등학교,233,203,201,195,122,137,53
단재초등학교,216,197,206,204,167,150,60
충주중앙탑초등학교,188,148,187,179,166,124,49
생명초등학교,200,174,149,139,83,68,41
충주대소원초등학교,52,48,30,30,42,42,16
충주남한강초등학교,195,176,197,178,174,153,54
용아초등학교,282,234,233,226,177,154,61
용원초등학교동락분교장,0,0,0,2,2,2,3
